CA-2017-152156,8/11/2017,11/11/2017,Second Class,CG-12520,Consumer,United States,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,262
CA-2017-161389,5/12/2017,10/12/2017,Standard Class,IM-15070,Consumer,United States,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,408
CA-2017-117590,8/12/2017,10/12/2017,First Class,GH-14485,Corporate,United States,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,1098
CA-2015-106376,5/12/2015,10/12/2015,Standard Class,BS-11590,Corporate,United States,Gilbert,Arizona,West,OFF-AR-10002671,Office Supplies,Art,1113
CA-2017-119823,4/6/2017,6/6/2017,First Class,KD-16270,Consumer,United States,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,76
US-2018-118038,9/12/2018,11/12/2018,First Class,KB-16600,Corporate,United States,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,1
CA-2016-149734,3/9/2016,8/9/2016,Standard Class,JC-16105,Corporate,United States,Durham,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,201
CA-2017-159695,5/4/2017,10/4/2017,Second Class,GM-14455,Home Office,United States,Houston,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,158
US-2018-109484,6/11/2018,12/11/2018,Standard Class,RB-19705,Home Office,United States,Portland,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,6
CA-2018-161018,9/11/2018,11/11/2018,Second Class,PN-18775,Home Office,United States,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,97
CA-2017-149223,6/9/2017,11/9/2017,Standard Class,ER-13855,Corporate,United States,Saint Paul,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,78
CA-2017-129903,1/12/2017,4/12/2017,Second Class,GZ-14470,Consumer,United States,Rochester,Minnesota,Central,OFF-PA-10004040,Office Supplies,Paper,24
CA-2017-128867,3/11/2017,10/11/2017,Standard Class,CL-12565,Consumer,United States,Urbandale,Iowa,Central,OFF-AR-10000380,Office Supplies,Art,76
CA-2016-110457,2/3/2016,6/3/2016,Standard Class,DK-13090,Consumer,United States,Seattle,Washington,West,FUR-TA-10001768,Furniture,Tables,788
US-2016-136476,5/4/2016,10/4/2016,Standard Class,GG-14650,Corporate,United States,Bristol,Tennessee,South,OFF-BI-10003650,Office Supplies,Binders,158
US-2018-107272,5/11/2018,12/11/2018,Standard Class,TS-21610,Consumer,United States,Phoenix,Arizona,West,OFF-BI-10003274,Office Supplies,Binders,2
US-2017-125969,6/11/2017,10/11/2017,Second Class,LS-16975,Home Office,United States,Los Angeles,California,West,FUR-CH-10001146,Furniture,Chairs,81
US-2018-164147,2/2/2018,5/2/2018,First Class,DW-13585,Corporate,United States,Columbus,Ohio,East,TEC-PH-10002293,Technology,Phones,60
CA-2017-110366,5/9/2017,7/9/2017,Second Class,JD-15895,Corporate,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,83
CA-2016-110744,7/9/2016,12/9/2016,Standard Class,HA-14920,Consumer,United States,Pasadena,California,West,OFF-ST-10003656,Office Supplies,Storage,672
CA-2017-114489,5/12/2017,9/12/2017,Standard Class,JE-16165,Corporate,United States,Franklin,Wisconsin,Central,TEC-PH-10000215,Technology,Phones,384
CA-2015-104269,1/3/2015,6/3/2015,Second Class,DB-13060,Consumer,United States,Seattle,Washington,West,FUR-CH-10004063,Furniture,Chairs,458
CA-2017-162733,11/5/2017,12/5/2017,First Class,TT-21070,Consumer,United States,Los Angeles,California,West,OFF-PA-10002751,Office Supplies,Paper,6
CA-2017-113817,7/11/2017,11/11/2017,Standard Class,MJ-17740,Consumer,United States,Seattle,Washington,West,OFF-BI-10004002,Office Supplies,Binders,28
CA-2015-139892,8/9/2015,12/9/2015,Standard Class,BM-11140,Consumer,United States,San Antonio,Texas,Central,OFF-AR-10004441,Office Supplies,Art,10
CA-2015-118962,5/8/2015,9/8/2015,Standard Class,CS-12130,Consumer,United States,Los Angeles,California,West,OFF-PA-10000659,Office Supplies,Paper,21
CA-2015-166191,5/12/2015,9/12/2015,Second Class,DK-13150,Corporate,United States,Decatur,Illinois,Central,OFF-ST-10003455,Office Supplies,Storage,25
CA-2015-133690,3/8/2015,5/8/2015,First Class,BS-11755,Consumer,United States,Denver,Colorado,West,FUR-TA-10004289,Furniture,Tables,219
CA-2018-126382,3/6/2018,7/6/2018,Standard Class,HK-14890,Corporate,United States,Franklin,Tennessee,South,FUR-FU-10002960,Furniture,Furnishings,35
CA-2018-135860,1/12/2018,7/12/2018,Standard Class,JH-15985,Consumer,United States,Saginaw,Michigan,Central,OFF-ST-10000642,Office Supplies,Storage,84
CA-2016-146262,2/1/2016,9/1/2016,Standard Class,VW-21775,Corporate,United States,Medina,Ohio,East,OFF-LA-10004544,Office Supplies,Labels,24
US-2018-100930,7/4/2018,12/4/2018,Standard Class,CS-12400,Home Office,United States,Tampa,Florida,South,FUR-TA-10001705,Furniture,Tables,234
CA-2017-157749,4/6/2017,9/6/2017,Second Class,KL-16645,Consumer,United States,Chicago,Illinois,Central,OFF-PA-10003349,Office Supplies,Paper,26
CA-2015-131926,1/6/2015,6/6/2015,Second Class,DW-13480,Home Office,United States,Lakeville,Minnesota,Central,FUR-CH-10004063,Furniture,Chairs,2002
CA-2018-163139,1/12/2018,3/12/2018,Second Class,CC-12670,Consumer,United States,New York City,New York,East,TEC-AC-10000290,Technology,Accessories,20
US-2018-155299,8/6/2018,12/6/2018,Standard Class,Dl-13600,Corporate,United States,Pasadena,Texas,Central,OFF-AP-10002203,Office Supplies,Appliances,2
CA-2016-130890,2/11/2016,6/11/2016,Standard Class,JO-15280,Consumer,United States,Los Angeles,California,West,FUR-TA-10002903,Furniture,Tables,1039
CA-2016-144253,4/5/2016,9/5/2016,Second Class,AS-10225,Corporate,United States,New York City,New York,East,FUR-FU-10002671,Furniture,Furnishings,27
CA-2015-111003,1/6/2015,6/6/2015,Standard Class,CR-12625,Home Office,United States,Lakewood,New Jersey,East,OFF-BI-10001072,Office Supplies,Binders,45
CA-2015-164973,4/11/2015,9/11/2015,Standard Class,NM-18445,Home Office,United States,New York City,New York,East,FUR-CH-10002602,Furniture,Chairs,136
CA-2018-153339,3/11/2018,5/11/2018,Second Class,DJ-13510,Corporate,United States,Murfreesboro,Tennessee,South,FUR-FU-10001967,Furniture,Furnishings,16
CA-2016-137946,1/9/2016,4/9/2016,Second Class,DB-13615,Consumer,United States,Los Angeles,California,West,OFF-BI-10001922,Office Supplies,Binders,5
CA-2018-134306,8/7/2018,12/7/2018,Standard Class,TD-20995,Consumer,United States,Lowell,Massachusetts,East,OFF-AR-10004027,Office Supplies,Art,8
CA-2017-129714,1/9/2017,3/9/2017,First Class,AB-10060,Home Office,United States,New York City,New York,East,TEC-AC-10000290,Technology,Accessories,7
CA-2018-155698,8/3/2018,11/3/2018,First Class,VB-21745,Corporate,United States,Columbus,Georgia,South,OFF-AP-10001124,Office Supplies,Appliances,648
CA-2016-122756,3/12/2016,7/12/2016,Standard Class,DK-13225,Corporate,United States,Philadelphia,Pennsylvania,East,TEC-MA-10001681,Technology,Machines,482
US-2015-134971,7/6/2015,10/6/2015,Second Class,BP-11095,Corporate,United States,Peoria,Illinois,Central,OFF-BI-10003982,Office Supplies,Binders,12
CA-2017-108987,8/9/2017,10/9/2017,Second Class,AG-10675,Consumer,United States,Houston,Texas,Central,OFF-ST-10001580,Office Supplies,Storage,36
CA-2018-117457,8/12/2018,12/12/2018,Standard Class,KH-16510,Consumer,United States,San Francisco,California,West,TEC-AC-10000158,Technology,Accessories,180
CA-2018-142636,3/11/2018,7/11/2018,Standard Class,KC-16675,Corporate,United States,Seattle,Washington,West,OFF-PA-10000157,Office Supplies,Paper,140
CA-2018-154816,6/11/2018,10/11/2018,Standard Class,VB-21745,Corporate,United States,Richmond,Kentucky,South,OFF-PA-10003845,Office Supplies,Paper,6
CA-2018-110478,4/3/2018,9/3/2018,Standard Class,SP-20860,Corporate,United States,Los Angeles,California,West,OFF-AR-10001573,Office Supplies,Art,9
CA-2018-152275,1/10/2018,8/10/2018,Standard Class,KH-16630,Corporate,United States,San Antonio,Texas,Central,OFF-AR-10000369,Office Supplies,Art,7
CA-2017-127369,6/6/2017,7/6/2017,First Class,DB-13060,Consumer,United States,Lowell,Massachusetts,East,OFF-ST-10003306,Office Supplies,Storage,714
CA-2017-115756,5/9/2017,7/9/2017,Second Class,PK-19075,Consumer,United States,Detroit,Michigan,Central,FUR-FU-10000246,Furniture,Furnishings,12
CA-2017-166674,1/4/2017,3/4/2017,Second Class,RB-19360,Consumer,United States,Auburn,New York,East,OFF-AR-10000588,Office Supplies,Art,60
CA-2015-144666,9/11/2015,11/11/2015,Second Class,JP-15520,Consumer,United States,San Francisco,California,West,OFF-ST-10002743,Office Supplies,Storage,341
CA-2015-134677,6/10/2015,10/10/2015,Standard Class,XP-21865,Consumer,United States,San Diego,California,West,TEC-AC-10001445,Technology,Accessories,9
US-2016-138303,3/9/2016,7/9/2016,Standard Class,MG-18145,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-ST-10004963,Office Supplies,Storage,36
